team,window,seasons_used,current_win_pct,current_net_rating,current_n_superstars,current_n_elite_stars,current_n_stars,current_top_player,current_2nd_player,current_W,current_L,current_win_pct_trend,current_net_rating_trend,current_n_superstars_trend,current_n_elite_stars_trend,match_rank,match_type,match_team,match_seasons,match_anchor_season,match_3yr_W,match_3yr_L,match_avg_win_pct,match_avg_net_rating,match_top_player,match_2nd_player,match_top_5_players,match_win_pct_trend,match_net_rating_trend,match_n_superstars_trend,match_next_1yr_win_pct,match_next_2yr_win_pct,match_next_avg_win_pct,match_next_1yr_playoff_round,match_next_2yr_playoff_round,similarity_score,level_similarity,trend_similarity,level_reason,trend_reason
Brooklyn Nets,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.287,-7.5,0.0,0,1,Michael Porter Jr.,Day'Ron Sharpe,15,47,-0.074,-3.0,0.0,0.0,1,top_1,Los Angeles Lakers,2013-14 / 2014-15 / 2015-16,2015-16,65,181,0.24,-8.4,Lou Williams,Brandon Bass,"Brandon Bass, Lou Williams, Marcelo Huertas, Julius Randle, Larry Nance Jr.",-0.061,-1.8,0.0,0.317,0.427,0.372,0,0,62.6,64.9,79.7,Similar superstar presence + elite star presence,Similar superstar presence trend + elite star presence trend
Brooklyn Nets,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.287,-7.5,0.0,0,1,Michael Porter Jr.,Day'Ron Sharpe,15,47,-0.074,-3.0,0.0,0.0,2,top_2,Phoenix Suns,2016-17 / 2017-18 / 2018-19,2018-19,64,182,0.248,-8.4,Devin Booker,Deandre Ayton,"Devin Booker, Deandre Ayton, Kelly Oubre Jr., Josh Jackson, Richaun Holmes",-0.03,-1.9,0.0,0.466,0.708,0.587,0,4,61.3,66.8,71.8,Similar superstar presence + elite star presence,Similar superstar presence trend + elite star presence trend
Brooklyn Nets,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.287,-7.5,0.0,0,1,Michael Porter Jr.,Day'Ron Sharpe,15,47,-0.074,-3.0,0.0,0.0,3,top_3,Atlanta Hawks,2016-17 / 2017-18 / 2018-19,2018-19,96,150,0.361,-4.8,Trae Young,John Collins,"Trae Young, John Collins, Alex Len, Dewayne Dedmon, Kent Bazemore",-0.085,-2.4,0.0,0.299,0.569,0.434,0,3,61.1,62.8,81.3,Similar superstar presence + elite star presence,Similar superstar presence trend + elite star presence trend
Brooklyn Nets,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.287,-7.5,0.0,0,1,Michael Porter Jr.,Day'Ron Sharpe,15,47,-0.074,-3.0,0.0,0.0,4,optimistic,Phoenix Suns,2016-17 / 2017-18 / 2018-19,2018-19,64,182,0.248,-8.4,Devin Booker,Deandre Ayton,"Devin Booker, Deandre Ayton, Kelly Oubre Jr., Josh Jackson, Richaun Holmes",-0.03,-1.9,0.0,0.466,0.708,0.587,0,4,61.3,66.8,71.8,Similar superstar presence + elite star presence,Similar superstar presence trend + elite star presence trend
Brooklyn Nets,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.287,-7.5,0.0,0,1,Michael Porter Jr.,Day'Ron Sharpe,15,47,-0.074,-3.0,0.0,0.0,5,pessimistic,Atlanta Hawks,2016-17 / 2017-18 / 2018-19,2018-19,96,150,0.361,-4.8,Trae Young,John Collins,"Trae Young, John Collins, Alex Len, Dewayne Dedmon, Kent Bazemore",-0.085,-2.4,0.0,0.299,0.569,0.434,0,3,61.1,62.8,81.3,Similar superstar presence + elite star presence,Similar superstar presence trend + elite star presence trend
Charlotte Hornets,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.387,-2.1,0.0,0,0,LaMelo Ball,Kon Knueppel,32,31,0.126,7.3,0.0,0.0,1,top_1,New York Knicks,2018-19 / 2019-20 / 2020-21,2020-21,79,141,0.44,-2.0,Julius Randle,RJ Barrett,"Julius Randle, RJ Barrett, Derrick Rose, Immanuel Quickley, Elfrid Payton",0.181,5.7,0.0,0.451,0.573,0.512,0,2,57.5,61.3,72.4,Similar superstar presence + elite star presence,Similar superstar presence trend + elite star presence trend
Charlotte Hornets,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.387,-2.1,0.0,0,0,LaMelo Ball,Kon Knueppel,32,31,0.126,7.3,0.0,0.0,2,top_2,Cleveland Cavaliers,2019-20 / 2020-21 / 2021-22,2021-22,85,134,0.431,-2.5,Darius Garland,Evan Mobley,"Darius Garland, Kevin Love, Evan Mobley, Jarrett Allen, Caris LeVert",0.122,5.0,0.0,0.622,0.585,0.604,1,2,55.7,64.4,63.6,Similar superstar presence + elite star presence,Similar superstar presence trend + elite star presence trend
Charlotte Hornets,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.387,-2.1,0.0,0,0,LaMelo Ball,Kon Knueppel,32,31,0.126,7.3,0.0,0.0,3,top_3,Oklahoma City Thunder,2020-21 / 2021-22 / 2022-23,2022-23,86,150,0.402,-3.4,Shai Gilgeous-Alexander,Josh Giddey,"Shai Gilgeous-Alexander, Josh Giddey, Jalen Williams, Luguentz Dort, Isaiah Joe",0.091,5.8,0.0,0.695,0.829,0.762,2,5,53.2,55.7,72.9,Similar superstar presence + star depth,Similar superstar presence trend + star depth trend
Charlotte Hornets,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.387,-2.1,0.0,0,0,LaMelo Ball,Kon Knueppel,32,31,0.126,7.3,0.0,0.0,4,optimistic,Oklahoma City Thunder,2020-21 / 2021-22 / 2022-23,2022-23,86,150,0.402,-3.4,Shai Gilgeous-Alexander,Josh Giddey,"Shai Gilgeous-Alexander, Josh Giddey, Jalen Williams, Luguentz Dort, Isaiah Joe",0.091,5.8,0.0,0.695,0.829,0.762,2,5,53.2,55.7,72.9,Similar superstar presence + star depth,Similar superstar presence trend + star depth trend
Charlotte Hornets,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.387,-2.1,0.0,0,0,LaMelo Ball,Kon Knueppel,32,31,0.126,7.3,0.0,0.0,5,pessimistic,New York Knicks,2018-19 / 2019-20 / 2020-21,2020-21,79,141,0.44,-2.0,Julius Randle,RJ Barrett,"Julius Randle, RJ Barrett, Derrick Rose, Immanuel Quickley, Elfrid Payton",0.181,5.7,0.0,0.451,0.573,0.512,0,2,57.5,61.3,72.4,Similar superstar presence + elite star presence,Similar superstar presence trend + elite star presence trend
Chicago Bulls,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.441,-3.2,0.0,0,1,Josh Giddey,Collin Sexton,26,37,-0.031,-1.4,0.0,0.0,1,top_1,Denver Nuggets,2013-14 / 2014-15 / 2015-16,2015-16,99,147,0.397,-3.1,Nikola Jokić,Danilo Gallinari,"Nikola Jokić, Danilo Gallinari, Will Barton, Kenneth Faried, D.J. Augustin",-0.018,-0.5,0.0,0.488,0.561,0.524,0,0,86.5,86.9,96.4,Similar superstar presence + elite star presence,Similar superstar presence trend + elite star presence trend
Chicago Bulls,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.441,-3.2,0.0,0,1,Josh Giddey,Collin Sexton,26,37,-0.031,-1.4,0.0,0.0,2,top_2,Philadelphia 76ers,2007-08 / 2008-09 / 2009-10,2009-10,108,138,0.404,-2.1,Andre Iguodala,Lou Williams,"Andre Iguodala, Lou Williams, Elton Brand, Samuel Dalembert, Thaddeus Young",-0.079,-2.3,0.0,0.5,0.53,0.515,1,2,73.1,74.3,88.9,Similar superstar presence + elite star presence,Similar superstar presence trend + elite star presence trend
Chicago Bulls,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.441,-3.2,0.0,0,1,Josh Giddey,Collin Sexton,26,37,-0.031,-1.4,0.0,0.0,3,top_3,Sacramento Kings,2018-19 / 2019-20 / 2020-21,2020-21,101,125,0.437,-2.8,De'Aaron Fox,Buddy Hield,"De'Aaron Fox, Buddy Hield, Richaun Holmes, Harrison Barnes, Tyrese Haliburton",-0.023,-1.3,0.0,0.366,0.585,0.476,0,1,72.6,78.0,80.0,Similar superstar presence + elite star presence,Similar superstar presence trend + elite star presence trend
Chicago Bulls,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.441,-3.2,0.0,0,1,Josh Giddey,Collin Sexton,26,37,-0.031,-1.4,0.0,0.0,4,optimistic,Philadelphia 76ers,2007-08 / 2008-09 / 2009-10,2009-10,108,138,0.404,-2.1,Andre Iguodala,Lou Williams,"Andre Iguodala, Lou Williams, Elton Brand, Samuel Dalembert, Thaddeus Young",-0.079,-2.3,0.0,0.5,0.53,0.515,1,2,73.1,74.3,88.9,Similar superstar presence + elite star presence,Similar superstar presence trend + elite star presence trend
Chicago Bulls,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.441,-3.2,0.0,0,1,Josh Giddey,Collin Sexton,26,37,-0.031,-1.4,0.0,0.0,5,pessimistic,Sacramento Kings,2018-19 / 2019-20 / 2020-21,2020-21,101,125,0.437,-2.8,De'Aaron Fox,Buddy Hield,"De'Aaron Fox, Buddy Hield, Richaun Holmes, Harrison Barnes, Tyrese Haliburton",-0.023,-1.3,0.0,0.366,0.585,0.476,0,1,72.6,78.0,80.0,Similar superstar presence + elite star presence,Similar superstar presence trend + elite star presence trend
Cleveland Cavaliers,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.662,5.5,0.0,1,2,Donovan Mitchell,James Harden,39,24,0.017,0.9,0.0,0.0,1,top_1,Detroit Pistons,2004-05 / 2005-06 / 2006-07,2006-07,171,75,0.688,5.6,Chauncey Billups,Richard Hamilton,"Chauncey Billups, Richard Hamilton, Tayshaun Prince, Rasheed Wallace, Chris Webber",-0.006,0.2,0.0,0.72,0.476,0.598,3,0,64.9,69.6,75.8,Similar superstar presence + star depth,Similar superstar presence trend + elite star presence trend
Cleveland Cavaliers,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.662,5.5,0.0,1,2,Donovan Mitchell,James Harden,39,24,0.017,0.9,0.0,0.0,2,top_2,Detroit Pistons,2002-03 / 2003-04 / 2004-05,2004-05,158,88,0.651,4.9,Chauncey Billups,Richard Hamilton,"Chauncey Billups, Carlos Arroyo, Richard Hamilton, Rasheed Wallace, Ben Wallace",0.024,0.0,0.0,0.78,0.646,0.713,3,3,64.1,64.6,89.7,Similar superstar presence + 2nd player quality,Similar superstar presence trend + elite star presence trend
Cleveland Cavaliers,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.662,5.5,0.0,1,2,Donovan Mitchell,James Harden,39,24,0.017,0.9,0.0,0.0,3,top_3,Atlanta Hawks,1995-96 / 1996-97 / 1997-98,1997-98,106,58,0.615,4.1,Mookie Blaylock,Dikembe Mutombo,"Dikembe Mutombo, Steven Smith, Mookie Blaylock, Christian Laettner, Alan Henderson",0.055,2.0,0.0,0.62,0.341,0.481,2,0,62.5,63.4,85.9,Similar superstar presence + 2nd player quality,Similar superstar presence trend + elite star presence trend
Cleveland Cavaliers,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.662,5.5,0.0,1,2,Donovan Mitchell,James Harden,39,24,0.017,0.9,0.0,0.0,4,optimistic,Detroit Pistons,2002-03 / 2003-04 / 2004-05,2004-05,158,88,0.651,4.9,Chauncey Billups,Richard Hamilton,"Chauncey Billups, Carlos Arroyo, Richard Hamilton, Rasheed Wallace, Ben Wallace",0.024,0.0,0.0,0.78,0.646,0.713,3,3,64.1,64.6,89.7,Similar superstar presence + 2nd player quality,Similar superstar presence trend + elite star presence trend
Cleveland Cavaliers,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.662,5.5,0.0,1,2,Donovan Mitchell,James Harden,39,24,0.017,0.9,0.0,0.0,5,pessimistic,Atlanta Hawks,1995-96 / 1996-97 / 1997-98,1997-98,106,58,0.615,4.1,Mookie Blaylock,Dikembe Mutombo,"Dikembe Mutombo, Steven Smith, Mookie Blaylock, Christian Laettner, Alan Henderson",0.055,2.0,0.0,0.62,0.341,0.481,2,0,62.5,63.4,85.9,Similar superstar presence + 2nd player quality,Similar superstar presence trend + elite star presence trend
Dallas Mavericks,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.42,-2.2,0.15,0,0,Cooper Flagg,Brandon Williams,21,41,-0.136,-3.0,-0.5,0.0,1,top_1,New Orleans Pelicans,2017-18 / 2018-19 / 2019-20,2019-20,111,125,0.438,-0.9,Jrue Holiday,Brandon Ingram,"Brandon Ingram, Jrue Holiday, Lonzo Ball, JJ Redick, Josh Hart",-0.084,-1.2,-0.5,0.431,0.439,0.435,0,1,61.2,67.0,71.5,Similar superstar presence + roster potential,Similar superstar presence trend + 2nd player quality trend
Dallas Mavericks,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.42,-2.2,0.15,0,0,Cooper Flagg,Brandon Williams,21,41,-0.136,-3.0,-0.5,0.0,2,top_2,Utah Jazz,2002-03 / 2003-04 / 2004-05,2004-05,115,131,0.414,-2.4,Andrei Kirilenko,Mehmet Okur,"Andrei Kirilenko, Mehmet Okur, Carlos Boozer, Matt Harpring, Gordan Giricek",-0.128,-3.5,0.0,0.5,0.622,0.561,0,3,57.0,68.3,62.6,Similar star depth + offensive rank,Similar star depth trend + win percentage trend
Dallas Mavericks,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.42,-2.2,0.15,0,0,Cooper Flagg,Brandon Williams,21,41,-0.136,-3.0,-0.5,0.0,3,top_3,Boston Celtics,2004-05 / 2005-06 / 2006-07,2006-07,102,144,0.364,-2.3,Paul Pierce,Al Jefferson,"Paul Pierce, Al Jefferson, Delonte West, Ryan Gomes, Rajon Rondo",-0.128,-2.1,0.0,0.805,0.756,0.78,5,2,56.0,70.6,60.0,Similar star depth + net rating,Similar star depth trend + win percentage trend
Dallas Mavericks,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.42,-2.2,0.15,0,0,Cooper Flagg,Brandon Williams,21,41,-0.136,-3.0,-0.5,0.0,4,optimistic,Boston Celtics,2004-05 / 2005-06 / 2006-07,2006-07,102,144,0.364,-2.3,Paul Pierce,Al Jefferson,"Paul Pierce, Al Jefferson, Delonte West, Ryan Gomes, Rajon Rondo",-0.128,-2.1,0.0,0.805,0.756,0.78,5,2,56.0,70.6,60.0,Similar star depth + net rating,Similar star depth trend + win percentage trend
Dallas Mavericks,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.42,-2.2,0.15,0,0,Cooper Flagg,Brandon Williams,21,41,-0.136,-3.0,-0.5,0.0,5,pessimistic,New Orleans Pelicans,2017-18 / 2018-19 / 2019-20,2019-20,111,125,0.438,-0.9,Jrue Holiday,Brandon Ingram,"Brandon Ingram, Jrue Holiday, Lonzo Ball, JJ Redick, Josh Hart",-0.084,-1.2,-0.5,0.431,0.439,0.435,0,1,61.2,67.0,71.5,Similar superstar presence + roster potential,Similar superstar presence trend + 2nd player quality trend
Denver Nuggets,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.628,4.4,1.0,0,1,Nikola Jokić,Jamal Murray,39,24,-0.038,-0.5,0.0,0.0,1,top_1,Milwaukee Bucks,2020-21 / 2021-22 / 2022-23,2022-23,155,81,0.671,3.7,Giannis Antetokounmpo,Jrue Holiday,"Giannis Antetokounmpo, Jrue Holiday, Brook Lopez, Bobby Portis, Grayson Allen",0.034,-1.2,0.0,0.598,0.585,0.591,1,1,64.9,68.4,77.9,Similar superstar presence + top player quality,Similar superstar presence trend + star depth trend
Denver Nuggets,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.628,4.4,1.0,0,1,Nikola Jokić,Jamal Murray,39,24,-0.038,-0.5,0.0,0.0,2,top_2,Denver Nuggets,2018-19 / 2019-20 / 2020-21,2020-21,147,80,0.647,3.9,Nikola Jokić,Jamal Murray,"Nikola Jokić, Michael Porter Jr., Jamal Murray, Aaron Gordon, Will Barton",-0.003,0.4,0.0,0.585,0.646,0.616,1,5,64.3,66.7,80.4,Similar superstar presence + elite star presence,Similar superstar presence trend + elite star presence trend
Denver Nuggets,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.628,4.4,1.0,0,1,Nikola Jokić,Jamal Murray,39,24,-0.038,-0.5,0.0,0.0,3,top_3,Denver Nuggets,2019-20 / 2020-21 / 2021-22,2021-22,141,86,0.612,3.0,Nikola Jokić,Aaron Gordon,"Nikola Jokić, Aaron Gordon, Will Barton, Monte Morris, Bones Hyland",-0.022,0.0,0.0,0.646,0.695,0.671,5,2,62.0,63.2,83.6,Similar superstar presence + elite star presence,Similar superstar presence trend + elite star presence trend
Denver Nuggets,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.628,4.4,1.0,0,1,Nikola Jokić,Jamal Murray,39,24,-0.038,-0.5,0.0,0.0,4,optimistic,Denver Nuggets,2019-20 / 2020-21 / 2021-22,2021-22,141,86,0.612,3.0,Nikola Jokić,Aaron Gordon,"Nikola Jokić, Aaron Gordon, Will Barton, Monte Morris, Bones Hyland",-0.022,0.0,0.0,0.646,0.695,0.671,5,2,62.0,63.2,83.6,Similar superstar presence + elite star presence,Similar superstar presence trend + elite star presence trend
Denver Nuggets,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.628,4.4,1.0,0,1,Nikola Jokić,Jamal Murray,39,24,-0.038,-0.5,0.0,0.0,5,pessimistic,Milwaukee Bucks,2020-21 / 2021-22 / 2022-23,2022-23,155,81,0.671,3.7,Giannis Antetokounmpo,Jrue Holiday,"Giannis Antetokounmpo, Jrue Holiday, Brook Lopez, Bobby Portis, Grayson Allen",0.034,-1.2,0.0,0.598,0.585,0.591,1,1,64.9,68.4,77.9,Similar superstar presence + top player quality,Similar superstar presence trend + star depth trend
Detroit Pistons,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.592,3.6,0.0,1,1,Cade Cunningham,Jalen Duren,45,16,0.283,8.4,0.0,0.5,1,top_1,Phoenix Suns,2018-19 / 2019-20 / 2020-21,2020-21,104,123,0.564,2.1,Chris Paul,Devin Booker,"Chris Paul, Devin Booker, Deandre Ayton, Mikal Bridges, Cameron Payne",0.238,7.4,0.0,0.78,0.549,0.665,2,2,60.9,62.9,79.9,Similar superstar presence + top player quality,Similar superstar presence trend + defensive rank trend
Detroit Pistons,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.592,3.6,0.0,1,1,Cade Cunningham,Jalen Duren,45,16,0.283,8.4,0.0,0.5,2,top_2,Cleveland Cavaliers,2020-21 / 2021-22 / 2022-23,2022-23,117,119,0.549,2.5,Donovan Mitchell,Darius Garland,"Donovan Mitchell, Darius Garland, Evan Mobley, Jarrett Allen, Caris LeVert",0.158,7.0,0.0,0.585,0.78,0.683,2,2,59.5,65.0,70.6,Similar superstar presence + offensive rank,Similar superstar presence trend + elite star presence trend
Detroit Pistons,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.592,3.6,0.0,1,1,Cade Cunningham,Jalen Duren,45,16,0.283,8.4,0.0,0.5,3,top_3,Golden State Warriors,2019-20 / 2020-21 / 2021-22,2021-22,107,112,0.553,2.1,Stephen Curry,Andrew Wiggins,"Stephen Curry, Jordan Poole, Andrew Wiggins, Draymond Green, Kevon Looney",0.208,7.0,0.0,0.537,0.561,0.549,2,0,57.9,60.0,77.6,Similar 2nd player quality + defensive rank,Similar superstar presence trend + elite star presence trend
Detroit Pistons,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.592,3.6,0.0,1,1,Cade Cunningham,Jalen Duren,45,16,0.283,8.4,0.0,0.5,4,optimistic,Golden State Warriors,2019-20 / 2020-21 / 2021-22,2021-22,107,112,0.553,2.1,Stephen Curry,Andrew Wiggins,"Stephen Curry, Jordan Poole, Andrew Wiggins, Draymond Green, Kevon Looney",0.208,7.0,0.0,0.537,0.561,0.549,2,0,57.9,60.0,77.6,Similar 2nd player quality + defensive rank,Similar superstar presence trend + elite star presence trend
Detroit Pistons,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.592,3.6,0.0,1,1,Cade Cunningham,Jalen Duren,45,16,0.283,8.4,0.0,0.5,5,pessimistic,Cleveland Cavaliers,2020-21 / 2021-22 / 2022-23,2022-23,117,119,0.549,2.5,Donovan Mitchell,Darius Garland,"Donovan Mitchell, Darius Garland, Evan Mobley, Jarrett Allen, Caris LeVert",0.158,7.0,0.0,0.585,0.78,0.683,2,2,59.5,65.0,70.6,Similar superstar presence + offensive rank,Similar superstar presence trend + elite star presence trend
