team,window,seasons_used,current_win_pct,current_net_rating,current_n_superstars,current_n_stars,current_top_player,current_2nd_player,current_W,current_L,current_win_pct_trend,current_net_rating_trend,current_n_superstars_trend,match_rank,match_type,match_team,match_seasons,match_anchor_season,match_3yr_W,match_3yr_L,match_avg_win_pct,match_avg_net_rating,match_top_player,match_2nd_player,match_top_5_players,match_win_pct_trend,match_net_rating_trend,match_n_superstars_trend,match_next_1yr_win_pct,match_next_2yr_win_pct,match_next_avg_win_pct,match_next_1yr_playoff_round,match_next_2yr_playoff_round,similarity_score,level_similarity,trend_similarity,level_reason,trend_reason
Brooklyn Nets,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.401,-3.7,0.0,0,Nic Claxton,D'Angelo Russell,26,56,-0.116,-4.2,0.0,1,top_1,Golden State Warriors,1995-96 / 1996-97 / 1997-98,1997-98,49,115,0.346,-5.6,Jim Jackson,Clar. Weatherspoon,"Donyell Marshall, Erick Dampier, Jim Jackson, Clar. Weatherspoon, Tony Delk",-0.134,-4.8,0.0,0.42,0.232,0.326,0.0,0.0,100.0,49.5,62.4,Similar superstar presence + star players gained,Similar superstar presence trend + offensive rank trend
Brooklyn Nets,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.401,-3.7,0.0,0,Nic Claxton,D'Angelo Russell,26,56,-0.116,-4.2,0.0,2,top_2,Sacramento Kings,2006-07 / 2007-08 / 2008-09,2008-09,88,158,0.346,-4.8,Kevin Martin,Jason Thompson,"Spencer Hawes, Jason Thompson, Kevin Martin, Beno Udrih, Andres Nocioni",-0.098,-3.7,0.0,0.305,0.293,0.299,0.0,0.0,99.4,49.9,60.5,Similar superstar presence + star players lost,Similar superstar presence trend + defensive rank trend
Brooklyn Nets,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.401,-3.7,0.0,0,Nic Claxton,D'Angelo Russell,26,56,-0.116,-4.2,0.0,3,top_3,Phoenix Suns,2013-14 / 2014-15 / 2015-16,2015-16,110,136,0.425,-2.3,Tyson Chandler,Brandon Knight,"Jon Leuer, Mirza Teletovic, Brandon Knight, Tyson Chandler, T.J. Warren",-0.152,-4.5,0.0,0.293,0.256,0.274,0.0,0.0,95.7,49.0,57.2,Similar superstar presence + star players gained,Similar superstar presence trend + top player quality trend
Brooklyn Nets,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.401,-3.7,0.0,0,Nic Claxton,D'Angelo Russell,26,56,-0.116,-4.2,0.0,4,optimistic,Toronto Raptors,1995-96 / 1996-97 / 1997-98,1997-98,46,118,0.331,-5.0,Marcus Camby,Doug Christie,"Doug Christie, Marcus Camby, John Wallace, Gary Trent, Chauncey Billups",-0.152,-4.8,0.0,0.46,0.549,0.504,0.0,1.0,92.2,51.0,50.7,Similar superstar presence + star players gained,Similar superstar presence trend + top player quality trend
Brooklyn Nets,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.401,-3.7,0.0,0,Nic Claxton,D'Angelo Russell,26,56,-0.116,-4.2,0.0,5,pessimistic,Detroit Pistons,2018-19 / 2019-20 / 2020-21,2020-21,81,139,0.342,-3.1,Mason Plumlee,Jerami Grant,"Jerami Grant, Mason Plumlee, Josh Jackson, Isaiah Stewart, Saddiq Bey",-0.111,-2.1,0.0,0.28,0.207,0.244,0.0,0.0,89.3,62.3,43.2,Similar superstar presence + star players gained,Similar superstar presence trend + win percentage trend
Charlotte Hornets,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.265,-8.9,0.0,0,Miles Bridges,LaMelo Ball,19,63,-0.049,-1.4,0.0,1,top_1,Phoenix Suns,2015-16 / 2016-17 / 2017-18,2017-18,68,178,0.275,-7.0,Devin Booker,Elfrid Payton,"Devin Booker, T.J. Warren, Elfrid Payton, Alex Len, Josh Jackson",-0.012,-1.2,0.0,0.232,0.466,0.349,0.0,0.0,100.0,48.7,52.3,Similar superstar presence + star players gained,Similar superstar presence trend + net rating trend
Charlotte Hornets,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.265,-8.9,0.0,0,Miles Bridges,LaMelo Ball,19,63,-0.049,-1.4,0.0,2,top_2,Charlotte Bobcats,2010-11 / 2011-12 / 2012-13,2012-13,62,168,0.243,-10.3,Kemba Walker,Ramon Sessions,"Kemba Walker, Gerald Henderson, Ramon Sessions, Michael Kidd-Gilchrist, Byron Mullens",-0.079,-2.9,0.0,0.524,,0.524,1.0,,96.1,45.2,53.5,Similar superstar presence + star players gained,Similar superstar presence trend + roster depth trend
Charlotte Hornets,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.265,-8.9,0.0,0,Miles Bridges,LaMelo Ball,19,63,-0.049,-1.4,0.0,3,top_3,Philadelphia 76ers,2013-14 / 2014-15 / 2015-16,2015-16,47,199,0.184,-9.7,T.J. McConnell,Nerlens Noel,"Ish Smith, T.J. McConnell, Nerlens Noel, Jahlil Okafor, Robert Covington",-0.055,-0.1,0.0,0.341,0.634,0.488,0.0,2.0,93.2,49.6,45.5,Similar superstar presence + star players gained,Similar superstar presence trend + top player quality trend
Charlotte Hornets,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.265,-8.9,0.0,0,Miles Bridges,LaMelo Ball,19,63,-0.049,-1.4,0.0,4,optimistic,Phoenix Suns,2016-17 / 2017-18 / 2018-19,2018-19,64,182,0.255,-8.0,Devin Booker,Deandre Ayton,"Devin Booker, Deandre Ayton, Kelly Oubre Jr., Josh Jackson, Richaun Holmes",-0.03,-1.9,0.0,0.466,0.708,0.587,0.0,4.0,92.3,46.9,47.2,Similar superstar presence + star players gained,Similar superstar presence trend + top player quality trend
Charlotte Hornets,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.265,-8.9,0.0,0,Miles Bridges,LaMelo Ball,19,63,-0.049,-1.4,0.0,5,pessimistic,Detroit Pistons,2019-20 / 2020-21 / 2021-22,2021-22,63,157,0.285,-5.5,Cade Cunningham,Saddiq Bey,"Saddiq Bey, Cade Cunningham, Isaiah Stewart, Jerami Grant, Hamidou Diallo",-0.011,-2.1,0.0,0.207,0.171,0.189,0.0,0.0,84.1,42.0,44.8,Similar superstar presence + star players gained,Similar superstar presence trend + 2nd player quality trend
Chicago Bulls,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.479,-0.9,0.0,2,Nikola Vučević,Josh Giddey,39,43,-0.006,-1.5,0.0,1,top_1,Philadelphia 76ers,2004-05 / 2005-06 / 2006-07,2006-07,116,130,0.464,-2.1,Andre Miller,Andre Iguodala,"Andre Iguodala, Andre Miller, Samuel Dalembert, Kyle Korver, Joe Smith",-0.049,-1.2,0.0,0.488,0.5,0.494,1.0,1.0,100.0,55.8,50.7,Similar superstar presence + defensive rank,Similar superstar presence trend + net rating trend
Chicago Bulls,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.479,-0.9,0.0,2,Nikola Vučević,Josh Giddey,39,43,-0.006,-1.5,0.0,2,top_2,Phoenix Suns,2001-02 / 2002-03 / 2003-04,2003-04,109,137,0.439,-1.2,Shawn Marion,Amar'e Stoudemire,"Shawn Marion, Joe Johnson, Amar'e Stoudemire, Howard Eisley, Leandro Barbosa",-0.043,-1.5,0.0,0.756,0.659,0.707,3.0,3.0,97.8,52.5,51.5,Similar superstar presence + net rating,Similar superstar presence trend + net rating trend
Chicago Bulls,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.479,-0.9,0.0,2,Nikola Vučević,Josh Giddey,39,43,-0.006,-1.5,0.0,3,top_3,Memphis Grizzlies,2013-14 / 2014-15 / 2015-16,2015-16,147,99,0.592,0.7,Marc Gasol,Zach Randolph,"Mike Conley, Marc Gasol, Zach Randolph, JaMychal Green, Lance Stephenson",-0.049,-2.0,0.0,0.524,0.268,0.396,1.0,0.0,86.8,45.9,48.1,Similar superstar presence + top player quality,Similar superstar presence trend + defensive rank trend
Chicago Bulls,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.479,-0.9,0.0,2,Nikola Vučević,Josh Giddey,39,43,-0.006,-1.5,0.0,4,optimistic,Phoenix Suns,2001-02 / 2002-03 / 2003-04,2003-04,109,137,0.439,-1.2,Shawn Marion,Amar'e Stoudemire,"Shawn Marion, Joe Johnson, Amar'e Stoudemire, Howard Eisley, Leandro Barbosa",-0.043,-1.5,0.0,0.756,0.659,0.707,3.0,3.0,97.8,52.5,51.5,Similar superstar presence + net rating,Similar superstar presence trend + net rating trend
Chicago Bulls,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.479,-0.9,0.0,2,Nikola Vučević,Josh Giddey,39,43,-0.006,-1.5,0.0,5,pessimistic,New Jersey Nets,2006-07 / 2007-08 / 2008-09,2008-09,109,137,0.436,-3.2,Vince Carter,Devin Harris,"Vince Carter, Devin Harris, Brook Lopez, Keyon Dooling, Yi Jianlian",-0.043,-0.9,0.0,0.146,0.293,0.22,0.0,0.0,79.7,40.6,47.6,Similar superstar presence + offensive rank,Similar superstar presence trend + defensive rank trend
Cleveland Cavaliers,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.673,6.0,0.0,4,Donovan Mitchell,Evan Mobley,64,18,0.079,1.8,0.0,1,top_1,Atlanta Hawks,2012-13 / 2013-14 / 2014-15,2014-15,142,104,0.589,2.2,Paul Millsap,Jeff Teague,"Paul Millsap, Al Horford, Jeff Teague, Dennis Schröder, DeMarre Carroll",0.098,2.8,0.0,0.585,0.524,0.555,2.0,0.0,100.0,39.2,54.5,Similar superstar presence + star players lost,Similar superstar presence trend + roster potential trend
Cleveland Cavaliers,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.673,6.0,0.0,4,Donovan Mitchell,Evan Mobley,64,18,0.079,1.8,0.0,2,top_2,Toronto Raptors,2016-17 / 2017-18 / 2018-19,2018-19,168,78,0.69,6.1,Kawhi Leonard,Kyle Lowry,"Kawhi Leonard, Marc Gasol, Pascal Siakam, Serge Ibaka, Kyle Lowry",0.043,0.8,0.0,0.736,0.375,0.556,2.0,0.0,98.6,46.3,42.0,Similar superstar presence + net rating,Similar superstar presence trend + 2nd player quality trend
Cleveland Cavaliers,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.673,6.0,0.0,4,Donovan Mitchell,Evan Mobley,64,18,0.079,1.8,0.0,3,top_3,Portland Trail Blazers,1997-98 / 1998-99 / 1999-00,1999-00,140,74,0.673,5.5,Arvydas Sabonis,Scottie Pippen,"Rasheed Wallace, Scottie Pippen, Arvydas Sabonis, Damon Stoudamire, Steven Smith",0.079,2.7,0.0,0.61,0.598,0.604,1.0,1.0,98.2,39.1,51.7,Similar superstar presence + win percentage,Similar superstar presence trend + win percentage trend
Cleveland Cavaliers,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.673,6.0,0.0,4,Donovan Mitchell,Evan Mobley,64,18,0.079,1.8,0.0,4,optimistic,Toronto Raptors,2015-16 / 2016-17 / 2017-18,2017-18,166,80,0.676,5.7,DeMar DeRozan,Kyle Lowry,"DeMar DeRozan, Kyle Lowry, Jonas Valančiūnas, Serge Ibaka, Fred VanVleet",0.018,1.6,0.0,0.707,0.736,0.722,5.0,2.0,92.7,42.2,41.1,Similar superstar presence + win percentage,Similar superstar presence trend + net rating trend
Cleveland Cavaliers,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.673,6.0,0.0,4,Donovan Mitchell,Evan Mobley,64,18,0.079,1.8,0.0,5,pessimistic,Atlanta Hawks,2012-13 / 2013-14 / 2014-15,2014-15,142,104,0.589,2.2,Paul Millsap,Jeff Teague,"Paul Millsap, Al Horford, Jeff Teague, Dennis Schröder, DeMarre Carroll",0.098,2.8,0.0,0.585,0.524,0.555,2.0,0.0,100.0,39.2,54.5,Similar superstar presence + star players lost,Similar superstar presence trend + roster potential trend
Dallas Mavericks,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.52,0.2,0.6,1,Anthony Davis,Kyrie Irving,39,43,0.006,-0.6,-0.5,1,top_1,Houston Rockets,1995-96 / 1996-97 / 1997-98,1997-98,98,66,0.568,1.3,Charles Barkley,Hakeem Olajuwon,"Charles Barkley, Clyde Drexler, Hakeem Olajuwon, Kevin Willis, Mario Elie",0.0,-0.5,-0.5,0.62,0.415,0.517,1.0,0.0,100.0,37.3,39.7,Similar superstar presence + offensive rank,Similar superstar presence trend + net rating trend
Dallas Mavericks,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.52,0.2,0.6,1,Anthony Davis,Kyrie Irving,39,43,0.006,-0.6,-0.5,2,top_2,Minnesota Timberwolves,2004-05 / 2005-06 / 2006-07,2006-07,109,137,0.431,-1.9,Kevin Garnett,Ricky Davis,"Kevin Garnett, Ricky Davis, Mark Blount, Randy Foye, Mike James",-0.073,-2.8,-0.5,0.268,0.293,0.28,0.0,0.0,96.8,38.1,36.6,Similar superstar presence + roster depth,Similar superstar presence trend + top player quality trend
Dallas Mavericks,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.52,0.2,0.6,1,Anthony Davis,Kyrie Irving,39,43,0.006,-0.6,-0.5,3,top_3,Oklahoma City Thunder,2017-18 / 2018-19 / 2019-20,2019-20,141,95,0.6,3.0,Chris Paul,Steven Adams,"Chris Paul, Shai Gilgeous-Alexander, Dennis Schröder, Steven Adams, Danilo Gallinari",0.013,-0.8,-0.5,0.306,0.293,0.299,0.0,0.0,96.4,30.9,54.4,Similar superstar presence + top player quality,Similar superstar presence trend + win percentage trend
Dallas Mavericks,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.52,0.2,0.6,1,Anthony Davis,Kyrie Irving,39,43,0.006,-0.6,-0.5,4,optimistic,Los Angeles Lakers,2003-04 / 2004-05 / 2005-06,2005-06,135,111,0.535,0.9,Kobe Bryant,Lamar Odom,"Kobe Bryant, Lamar Odom, Smush Parker, Chris Mihm, Brian Cook",-0.067,-0.7,-0.5,0.512,0.695,0.604,1.0,4.0,77.7,27.4,35.6,Similar top player quality + win percentage,Similar superstar presence trend + net rating trend
Dallas Mavericks,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.52,0.2,0.6,1,Anthony Davis,Kyrie Irving,39,43,0.006,-0.6,-0.5,5,pessimistic,Minnesota Timberwolves,2004-05 / 2005-06 / 2006-07,2006-07,109,137,0.431,-1.9,Kevin Garnett,Ricky Davis,"Kevin Garnett, Ricky Davis, Mark Blount, Randy Foye, Mike James",-0.073,-2.8,-0.5,0.268,0.293,0.28,0.0,0.0,96.8,38.1,36.6,Similar superstar presence + roster depth,Similar superstar presence trend + top player quality trend
Denver Nuggets,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.649,4.3,1.0,1,Nikola Jokić,Jamal Murray,50,32,-0.018,0.2,0.0,1,top_1,Minnesota Timberwolves,1999-00 / 2000-01 / 2001-02,2001-02,147,99,0.597,2.5,Kevin Garnett,Terrell Brandon,"Kevin Garnett, Wally Szczerbiak, Chauncey Billups, Terrell Brandon, Joe Smith",0.0,0.4,0.0,0.622,0.707,0.665,1.0,3.0,100.0,54.7,58.5,Similar superstar presence + top player quality,Similar superstar presence trend + net rating trend
Denver Nuggets,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.649,4.3,1.0,1,Nikola Jokić,Jamal Murray,50,32,-0.018,0.2,0.0,2,top_2,Cleveland Cavaliers,2014-15 / 2015-16 / 2016-17,2016-17,161,85,0.654,4.6,LeBron James,Kevin Love,"LeBron James, Kyrie Irving, Kevin Love, Tristan Thompson, Deron Williams",-0.012,-0.8,0.0,0.61,0.232,0.421,4.0,0.0,97.8,50.5,63.5,Similar superstar presence + star players lost,Similar superstar presence trend + offensive rank trend
Denver Nuggets,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.649,4.3,1.0,1,Nikola Jokić,Jamal Murray,50,32,-0.018,0.2,0.0,3,top_3,Minnesota Timberwolves,2002-03 / 2003-04 / 2004-05,2004-05,153,93,0.618,3.2,Kevin Garnett,Sam Cassell,"Kevin Garnett, Sam Cassell, Wally Szczerbiak, Eddie Griffin, Latrell Sprewell",-0.043,-0.3,0.0,0.402,0.39,0.396,0.0,0.0,94.5,52.2,55.7,Similar superstar presence + star players gained,Similar superstar presence trend + top player quality trend
Denver Nuggets,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.649,4.3,1.0,1,Nikola Jokić,Jamal Murray,50,32,-0.018,0.2,0.0,4,optimistic,Denver Nuggets,2019-20 / 2020-21 / 2021-22,2021-22,141,86,0.62,3.1,Nikola Jokić,Aaron Gordon,"Nikola Jokić, Aaron Gordon, Will Barton, Monte Morris, Bones Hyland",-0.022,0.0,0.0,0.646,0.695,0.671,5.0,2.0,93.6,49.1,60.0,Similar superstar presence + star players lost,Similar superstar presence trend + win percentage trend
Denver Nuggets,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.649,4.3,1.0,1,Nikola Jokić,Jamal Murray,50,32,-0.018,0.2,0.0,5,pessimistic,Minnesota Timberwolves,2002-03 / 2003-04 / 2004-05,2004-05,153,93,0.618,3.2,Kevin Garnett,Sam Cassell,"Kevin Garnett, Sam Cassell, Wally Szczerbiak, Eddie Griffin, Latrell Sprewell",-0.043,-0.3,0.0,0.402,0.39,0.396,0.0,0.0,94.5,52.2,55.7,Similar superstar presence + star players gained,Similar superstar presence trend + top player quality trend
Detroit Pistons,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.326,-4.3,0.0,1,Cade Cunningham,Jalen Duren,44,38,0.165,5.0,0.0,1,top_1,Los Angeles Clippers,1999-00 / 2000-01 / 2001-02,2001-02,85,161,0.368,-4.2,Elton Brand,Lamar Odom,"Elton Brand, Jeff McInnis, Michael Olowokandi, Quentin Richardson, Darius Miles",0.146,5.8,0.0,0.329,0.341,0.335,0.0,0.0,100.0,48.9,61.1,Similar superstar presence + star players lost,Similar superstar presence trend + top player quality trend
Detroit Pistons,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.326,-4.3,0.0,1,Cade Cunningham,Jalen Duren,44,38,0.165,5.0,0.0,2,top_2,New York Knicks,2018-19 / 2019-20 / 2020-21,2020-21,79,141,0.391,-3.5,Julius Randle,RJ Barrett,"Julius Randle, RJ Barrett, Derrick Rose, Immanuel Quickley, Elfrid Payton",0.181,5.7,0.0,0.451,0.573,0.512,0.0,2.0,93.1,45.6,58.7,Similar superstar presence + star players lost,Similar superstar presence trend + roster potential trend
Detroit Pistons,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.326,-4.3,0.0,1,Cade Cunningham,Jalen Duren,44,38,0.165,5.0,0.0,3,top_3,Phoenix Suns,2017-18 / 2018-19 / 2019-20,2019-20,74,163,0.331,-5.2,Devin Booker,Ricky Rubio,"Devin Booker, Ricky Rubio, Deandre Ayton, Kelly Oubre Jr., Dario Saric",0.105,4.8,0.0,0.708,0.78,0.744,4.0,0.0,91.6,49.3,50.3,Similar superstar presence + star players lost,Similar superstar presence trend + top player quality trend
Detroit Pistons,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.326,-4.3,0.0,1,Cade Cunningham,Jalen Duren,44,38,0.165,5.0,0.0,4,optimistic,Los Angeles Lakers,2015-16 / 2016-17 / 2017-18,2017-18,78,168,0.334,-5.3,Julius Randle,Kyle Kuzma,"Julius Randle, Kyle Kuzma, Brook Lopez, Lonzo Ball, Kentavious Caldwell-Pope",0.11,4.2,0.0,0.451,0.732,0.592,0.0,5.0,81.7,44.5,45.8,Similar superstar presence + star players lost,Similar superstar presence trend + roster depth trend
Detroit Pistons,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.326,-4.3,0.0,1,Cade Cunningham,Jalen Duren,44,38,0.165,5.0,0.0,5,pessimistic,Los Angeles Clippers,1999-00 / 2000-01 / 2001-02,2001-02,85,161,0.368,-4.2,Elton Brand,Lamar Odom,"Elton Brand, Jeff McInnis, Michael Olowokandi, Quentin Richardson, Darius Miles",0.146,5.8,0.0,0.329,0.341,0.335,0.0,0.0,100.0,48.9,61.1,Similar superstar presence + star players lost,Similar superstar presence trend + top player quality trend
Golden State Warriors,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.565,2.5,0.0,1,Stephen Curry,Jimmy Butler III,48,34,0.024,0.8,0.0,1,top_1,Toronto Raptors,1999-00 / 2000-01 / 2001-02,2001-02,134,112,0.543,0.5,Vince Carter,Antonio Davis,"Vince Carter, Antonio Davis, Keon Clark, Alvin Williams, Hakeem Olajuwon",-0.018,-0.2,0.0,0.293,0.402,0.348,0.0,0.0,100.0,56.2,55.4,Similar superstar presence + star players lost,Similar superstar presence trend + defensive rank trend
