Team,SEASON,playoff_round,round_label
Indiana Pacers,2002-03,2,Conf. Semis Exit
Milwaukee Bucks,2002-03,2,Conf. Semis Exit
Sacramento Kings,2002-03,2,Conf. Semis Exit
Detroit Pistons,2002-03,1,First Round Exit
Los Angeles Lakers,2002-03,1,First Round Exit
Minnesota Timberwolves,2002-03,1,First Round Exit
New Orleans Hornets,2002-03,1,First Round Exit
New Orleans Pelicans,2002-03,1,First Round Exit
Orlando Magic,2002-03,1,First Round Exit
Portland Trail Blazers,2002-03,1,First Round Exit
Utah Jazz,2002-03,1,First Round Exit
Detroit Pistons,2003-04,5,Champion
Los Angeles Lakers,2003-04,4,Lost in Finals
Indiana Pacers,2003-04,3,Conf. Finals Exit
Minnesota Timberwolves,2003-04,3,Conf. Finals Exit
Miami Heat,2003-04,2,Conf. Semis Exit
New Jersey Nets,2003-04,2,Conf. Semis Exit
Sacramento Kings,2003-04,2,Conf. Semis Exit
San Antonio Spurs,2003-04,2,Conf. Semis Exit
Boston Celtics,2003-04,1,First Round Exit
Dallas Mavericks,2003-04,1,First Round Exit
Denver Nuggets,2003-04,1,First Round Exit
Houston Rockets,2003-04,1,First Round Exit
Memphis Grizzlies,2003-04,1,First Round Exit
Milwaukee Bucks,2003-04,1,First Round Exit
New York Knicks,2003-04,1,First Round Exit
San Antonio Spurs,2004-05,5,Champion
Detroit Pistons,2004-05,4,Lost in Finals
Miami Heat,2004-05,3,Conf. Finals Exit
Phoenix Suns,2004-05,3,Conf. Finals Exit
Dallas Mavericks,2004-05,2,Conf. Semis Exit
New Jersey Nets,2004-05,2,Conf. Semis Exit
Seattle SuperSonics,2004-05,2,Conf. Semis Exit
Washington Wizards,2004-05,2,Conf. Semis Exit
Boston Celtics,2004-05,1,First Round Exit
Chicago Bulls,2004-05,1,First Round Exit
Denver Nuggets,2004-05,1,First Round Exit
Florida Heat,2004-05,1,First Round Exit
Houston Rockets,2004-05,1,First Round Exit
Indiana Pacers,2004-05,1,First Round Exit
Memphis Grizzlies,2004-05,1,First Round Exit
Sacramento Kings,2004-05,1,First Round Exit
Miami Heat,2005-06,5,Champion
Dallas Mavericks,2005-06,4,Lost in Finals
Detroit Pistons,2005-06,3,Conf. Finals Exit
Phoenix Suns,2005-06,3,Conf. Finals Exit
Cleveland Cavaliers,2005-06,2,Conf. Semis Exit
Los Angeles Clippers,2005-06,2,Conf. Semis Exit
New Jersey Nets,2005-06,2,Conf. Semis Exit
San Antonio Spurs,2005-06,2,Conf. Semis Exit
Denver Nuggets,2005-06,1,First Round Exit
Indiana Pacers,2005-06,1,First Round Exit
Los Angeles Lakers,2005-06,1,First Round Exit
Memphis Grizzlies,2005-06,1,First Round Exit
Milwaukee Bucks,2005-06,1,First Round Exit
New York Knicks,2005-06,1,First Round Exit
Sacramento Kings,2005-06,1,First Round Exit
Washington Wizards,2005-06,1,First Round Exit
San Antonio Spurs,2006-07,5,Champion
Cleveland Cavaliers,2006-07,4,Lost in Finals
Detroit Pistons,2006-07,3,Conf. Finals Exit
Utah Jazz,2006-07,3,Conf. Finals Exit
Chicago Bulls,2006-07,2,Conf. Semis Exit
Golden State Warriors,2006-07,2,Conf. Semis Exit
New Jersey Nets,2006-07,2,Conf. Semis Exit
Phoenix Suns,2006-07,2,Conf. Semis Exit
Dallas Mavericks,2006-07,1,First Round Exit
Denver Nuggets,2006-07,1,First Round Exit
Houston Rockets,2006-07,1,First Round Exit
Los Angeles Lakers,2006-07,1,First Round Exit
Miami Heat,2006-07,1,First Round Exit
Orlando Magic,2006-07,1,First Round Exit
Toronto Raptors,2006-07,1,First Round Exit
Washington Wizards,2006-07,1,First Round Exit
Boston Celtics,2007-08,5,Champion
Los Angeles Lakers,2007-08,4,Lost in Finals
Detroit Pistons,2007-08,3,Conf. Finals Exit
San Antonio Spurs,2007-08,3,Conf. Finals Exit
Cleveland Cavaliers,2007-08,2,Conf. Semis Exit
New Orleans Hornets,2007-08,2,Conf. Semis Exit
Orlando Magic,2007-08,2,Conf. Semis Exit
Utah Jazz,2007-08,2,Conf. Semis Exit
Atlanta Hawks,2007-08,1,First Round Exit
Dallas Mavericks,2007-08,1,First Round Exit
Denver Nuggets,2007-08,1,First Round Exit
Houston Rockets,2007-08,1,First Round Exit
Indiana Pacers,2007-08,1,First Round Exit
Philadelphia 76ers,2007-08,1,First Round Exit
Phoenix Suns,2007-08,1,First Round Exit
Washington Wizards,2007-08,1,First Round Exit
Los Angeles Lakers,2008-09,5,Champion
Orlando Magic,2008-09,4,Lost in Finals
Cleveland Cavaliers,2008-09,3,Conf. Finals Exit
Denver Nuggets,2008-09,3,Conf. Finals Exit
Boston Celtics,2008-09,2,Conf. Semis Exit
Dallas Mavericks,2008-09,2,Conf. Semis Exit
Houston Rockets,2008-09,2,Conf. Semis Exit
Atlanta Hawks,2008-09,1,First Round Exit
Chicago Bulls,2008-09,1,First Round Exit
Miami Heat,2008-09,1,First Round Exit
New Orleans Hornets,2008-09,1,First Round Exit
Philadelphia 76ers,2008-09,1,First Round Exit
Portland Trail Blazers,2008-09,1,First Round Exit
San Antonio Spurs,2008-09,1,First Round Exit
Utah Jazz,2008-09,1,First Round Exit
Los Angeles Lakers,2009-10,5,Champion
Boston Celtics,2009-10,4,Lost in Finals
Orlando Magic,2009-10,3,Conf. Finals Exit
Phoenix Suns,2009-10,3,Conf. Finals Exit
Atlanta Hawks,2009-10,2,Conf. Semis Exit
Cleveland Cavaliers,2009-10,2,Conf. Semis Exit
Denver Nuggets,2009-10,2,Conf. Semis Exit
Utah Jazz,2009-10,2,Conf. Semis Exit
Charlotte Bobcats,2009-10,1,First Round Exit
Chicago Bulls,2009-10,1,First Round Exit
Dallas Mavericks,2009-10,1,First Round Exit
Miami Heat,2009-10,1,First Round Exit
Milwaukee Bucks,2009-10,1,First Round Exit
Oklahoma City Thunder,2009-10,1,First Round Exit
Portland Trail Blazers,2009-10,1,First Round Exit
San Antonio Spurs,2009-10,1,First Round Exit
Dallas Mavericks,2010-11,5,Champion
Miami Heat,2010-11,4,Lost in Finals
Chicago Bulls,2010-11,3,Conf. Finals Exit
Oklahoma City Thunder,2010-11,3,Conf. Finals Exit
Atlanta Hawks,2010-11,2,Conf. Semis Exit
Boston Celtics,2010-11,2,Conf. Semis Exit
Los Angeles Lakers,2010-11,2,Conf. Semis Exit
Memphis Grizzlies,2010-11,2,Conf. Semis Exit
Denver Nuggets,2010-11,1,First Round Exit
Indiana Pacers,2010-11,1,First Round Exit
New Orleans Hornets,2010-11,1,First Round Exit
New York Knicks,2010-11,1,First Round Exit
Orlando Magic,2010-11,1,First Round Exit
Philadelphia 76ers,2010-11,1,First Round Exit
Portland Trail Blazers,2010-11,1,First Round Exit
San Antonio Spurs,2010-11,1,First Round Exit
Miami Heat,2011-12,5,Champion
Oklahoma City Thunder,2011-12,4,Lost in Finals
Boston Celtics,2011-12,3,Conf. Finals Exit
San Antonio Spurs,2011-12,3,Conf. Finals Exit
Indiana Pacers,2011-12,2,Conf. Semis Exit
Los Angeles Lakers,2011-12,2,Conf. Semis Exit
Memphis Grizzlies,2011-12,2,Conf. Semis Exit
Philadelphia 76ers,2011-12,2,Conf. Semis Exit
Atlanta Hawks,2011-12,1,First Round Exit
Brooklyn Nets,2011-12,1,First Round Exit
Chicago Bulls,2011-12,1,First Round Exit
Dallas Mavericks,2011-12,1,First Round Exit
Denver Nuggets,2011-12,1,First Round Exit
Los Angeles Clippers,2011-12,1,First Round Exit
New York Knicks,2011-12,1,First Round Exit
Utah Jazz,2011-12,1,First Round Exit
Miami Heat,2012-13,5,Champion
San Antonio Spurs,2012-13,4,Lost in Finals
Indiana Pacers,2012-13,3,Conf. Finals Exit
Memphis Grizzlies,2012-13,3,Conf. Finals Exit
Chicago Bulls,2012-13,2,Conf. Semis Exit
Golden State Warriors,2012-13,2,Conf. Semis Exit
New York Knicks,2012-13,2,Conf. Semis Exit
Oklahoma City Thunder,2012-13,2,Conf. Semis Exit
Atlanta Hawks,2012-13,1,First Round Exit
Dallas Mavericks,2012-13,1,First Round Exit
Denver Nuggets,2012-13,1,First Round Exit
Houston Rockets,2012-13,1,First Round Exit
Los Angeles Clippers,2012-13,1,First Round Exit
Los Angeles Lakers,2012-13,1,First Round Exit
Milwaukee Bucks,2012-13,1,First Round Exit
San Antonio Spurs,2013-14,5,Champion
Miami Heat,2013-14,4,Lost in Finals
Indiana Pacers,2013-14,3,Conf. Finals Exit
Oklahoma City Thunder,2013-14,3,Conf. Finals Exit
Brooklyn Nets,2013-14,2,Conf. Semis Exit
Chicago Bulls,2013-14,2,Conf. Semis Exit
Los Angeles Clippers,2013-14,2,Conf. Semis Exit
Portland Trail Blazers,2013-14,2,Conf. Semis Exit
Atlanta Hawks,2013-14,1,First Round Exit
Charlotte Bobcats,2013-14,1,First Round Exit
Dallas Mavericks,2013-14,1,First Round Exit
Golden State Warriors,2013-14,1,First Round Exit
Houston Rockets,2013-14,1,First Round Exit
Memphis Grizzlies,2013-14,1,First Round Exit
Toronto Raptors,2013-14,1,First Round Exit
Washington Wizards,2013-14,1,First Round Exit
Golden State Warriors,2014-15,5,Champion
Cleveland Cavaliers,2014-15,4,Lost in Finals
Atlanta Hawks,2014-15,3,Conf. Finals Exit
Houston Rockets,2014-15,3,Conf. Finals Exit
Chicago Bulls,2014-15,2,Conf. Semis Exit
Los Angeles Clippers,2014-15,2,Conf. Semis Exit
Memphis Grizzlies,2014-15,2,Conf. Semis Exit
Washington Wizards,2014-15,2,Conf. Semis Exit
Boston Celtics,2014-15,1,First Round Exit
Brooklyn Nets,2014-15,1,First Round Exit
Dallas Mavericks,2014-15,1,First Round Exit
Milwaukee Bucks,2014-15,1,First Round Exit
New Orleans Pelicans,2014-15,1,First Round Exit
Portland Trail Blazers,2014-15,1,First Round Exit
San Antonio Spurs,2014-15,1,First Round Exit
Toronto Raptors,2014-15,1,First Round Exit
Cleveland Cavaliers,2015-16,5,Champion
Golden State Warriors,2015-16,4,Lost in Finals
Oklahoma City Thunder,2015-16,3,Conf. Finals Exit
Toronto Raptors,2015-16,3,Conf. Finals Exit
Atlanta Hawks,2015-16,2,Conf. Semis Exit
Miami Heat,2015-16,2,Conf. Semis Exit
Portland Trail Blazers,2015-16,2,Conf. Semis Exit
San Antonio Spurs,2015-16,2,Conf. Semis Exit
Boston Celtics,2015-16,1,First Round Exit
Charlotte Hornets,2015-16,1,First Round Exit
Dallas Mavericks,2015-16,1,First Round Exit
Detroit Pistons,2015-16,1,First Round Exit
Houston Rockets,2015-16,1,First Round Exit
Indiana Pacers,2015-16,1,First Round Exit
Los Angeles Clippers,2015-16,1,First Round Exit
Memphis Grizzlies,2015-16,1,First Round Exit
Golden State Warriors,2016-17,5,Champion
Cleveland Cavaliers,2016-17,4,Lost in Finals
Boston Celtics,2016-17,3,Conf. Finals Exit
San Antonio Spurs,2016-17,3,Conf. Finals Exit
Houston Rockets,2016-17,2,Conf. Semis Exit
Toronto Raptors,2016-17,2,Conf. Semis Exit
Utah Jazz,2016-17,2,Conf. Semis Exit
Washington Wizards,2016-17,2,Conf. Semis Exit
Chicago Bulls,2016-17,1,First Round Exit
Indiana Pacers,2016-17,1,First Round Exit
Los Angeles Clippers,2016-17,1,First Round Exit
Memphis Grizzlies,2016-17,1,First Round Exit
Miami Heat,2016-17,1,First Round Exit
Milwaukee Bucks,2016-17,1,First Round Exit
Oklahoma City Thunder,2016-17,1,First Round Exit
Portland Trail Blazers,2016-17,1,First Round Exit
Golden State Warriors,2017-18,5,Champion
Cleveland Cavaliers,2017-18,4,Lost in Finals
Boston Celtics,2017-18,3,Conf. Finals Exit
Houston Rockets,2017-18,3,Conf. Finals Exit
Milwaukee Bucks,2017-18,1,First Round Exit
New Orleans Pelicans,2017-18,2,Conf. Semis Exit
Philadelphia 76ers,2017-18,2,Conf. Semis Exit
Utah Jazz,2017-18,2,Conf. Semis Exit
Indiana Pacers,2017-18,1,First Round Exit
Miami Heat,2017-18,1,First Round Exit
Minnesota Timberwolves,2017-18,1,First Round Exit
Oklahoma City Thunder,2017-18,1,First Round Exit
Portland Trail Blazers,2017-18,1,First Round Exit
San Antonio Spurs,2017-18,1,First Round Exit
Toronto Raptors,2017-18,2,Conf. Semis Exit
Washington Wizards,2017-18,1,First Round Exit
Toronto Raptors,2018-19,5,Champion
Golden State Warriors,2018-19,4,Lost in Finals
Milwaukee Bucks,2018-19,3,Conf. Finals Exit
Portland Trail Blazers,2018-19,3,Conf. Finals Exit
Boston Celtics,2018-19,2,Conf. Semis Exit
Denver Nuggets,2018-19,2,Conf. Semis Exit
Houston Rockets,2018-19,2,Conf. Semis Exit
Philadelphia 76ers,2018-19,2,Conf. Semis Exit
Brooklyn Nets,2018-19,1,First Round Exit
Detroit Pistons,2018-19,1,First Round Exit
Los Angeles Clippers,2018-19,1,First Round Exit
Oklahoma City Thunder,2018-19,1,First Round Exit
Orlando Magic,2018-19,1,First Round Exit
San Antonio Spurs,2018-19,1,First Round Exit
Utah Jazz,2018-19,1,First Round Exit
Los Angeles Lakers,2019-20,5,Champion
Miami Heat,2019-20,4,Lost in Finals
Boston Celtics,2019-20,3,Conf. Finals Exit
Denver Nuggets,2019-20,3,Conf. Finals Exit
Houston Rockets,2019-20,2,Conf. Semis Exit
Los Angeles Clippers,2019-20,2,Conf. Semis Exit
Milwaukee Bucks,2019-20,2,Conf. Semis Exit
Toronto Raptors,2019-20,2,Conf. Semis Exit
Brooklyn Nets,2019-20,1,First Round Exit
Indiana Pacers,2019-20,1,First Round Exit
Oklahoma City Thunder,2019-20,1,First Round Exit
Orlando Magic,2019-20,1,First Round Exit
Philadelphia 76ers,2019-20,1,First Round Exit
Portland Trail Blazers,2019-20,1,First Round Exit
Utah Jazz,2019-20,1,First Round Exit
Milwaukee Bucks,2020-21,5,Champion
Phoenix Suns,2020-21,4,Lost in Finals
Atlanta Hawks,2020-21,3,Conf. Finals Exit
Los Angeles Clippers,2020-21,3,Conf. Finals Exit
Brooklyn Nets,2020-21,2,Conf. Semis Exit
Denver Nuggets,2020-21,2,Conf. Semis Exit
Philadelphia 76ers,2020-21,2,Conf. Semis Exit
Utah Jazz,2020-21,2,Conf. Semis Exit
Charlotte Hornets,2020-21,1,First Round Exit
Los Angeles Lakers,2020-21,1,First Round Exit
Memphis Grizzlies,2020-21,1,First Round Exit
Miami Heat,2020-21,1,First Round Exit
Portland Trail Blazers,2020-21,1,First Round Exit
Washington Wizards,2020-21,1,First Round Exit
Golden State Warriors,2021-22,5,Champion
Boston Celtics,2021-22,4,Lost in Finals
Dallas Mavericks,2021-22,3,Conf. Finals Exit
Miami Heat,2021-22,3,Conf. Finals Exit
Memphis Grizzlies,2021-22,2,Conf. Semis Exit
Milwaukee Bucks,2021-22,2,Conf. Semis Exit
Philadelphia 76ers,2021-22,2,Conf. Semis Exit
Brooklyn Nets,2021-22,1,First Round Exit
Chicago Bulls,2021-22,1,First Round Exit
Denver Nuggets,2021-22,1,First Round Exit
Minnesota Timberwolves,2021-22,1,First Round Exit
New Orleans Pelicans,2021-22,1,First Round Exit
Toronto Raptors,2021-22,1,First Round Exit
Utah Jazz,2021-22,1,First Round Exit
Denver Nuggets,2022-23,5,Champion
Miami Heat,2022-23,4,Lost in Finals
Boston Celtics,2022-23,3,Conf. Finals Exit
Los Angeles Lakers,2022-23,3,Conf. Finals Exit
Golden State Warriors,2022-23,2,Conf. Semis Exit
New York Knicks,2022-23,2,Conf. Semis Exit
Philadelphia 76ers,2022-23,2,Conf. Semis Exit
Phoenix Suns,2022-23,2,Conf. Semis Exit
Atlanta Hawks,2022-23,1,First Round Exit
Brooklyn Nets,2022-23,1,First Round Exit
Cleveland Cavaliers,2022-23,1,First Round Exit
Los Angeles Clippers,2022-23,1,First Round Exit
Memphis Grizzlies,2022-23,1,First Round Exit
Minnesota Timberwolves,2022-23,1,First Round Exit
Sacramento Kings,2022-23,1,First Round Exit
Boston Celtics,2023-24,5,Champion
Dallas Mavericks,2023-24,4,Lost in Finals
Indiana Pacers,2023-24,3,Conf. Finals Exit
Minnesota Timberwolves,2023-24,3,Conf. Finals Exit
Cleveland Cavaliers,2023-24,2,Conf. Semis Exit
Denver Nuggets,2023-24,2,Conf. Semis Exit
New York Knicks,2023-24,2,Conf. Semis Exit
Oklahoma City Thunder,2023-24,2,Conf. Semis Exit
Los Angeles Lakers,2023-24,1,First Round Exit
Miami Heat,2023-24,1,First Round Exit
Milwaukee Bucks,2023-24,1,First Round Exit
New Orleans Pelicans,2023-24,1,First Round Exit
Orlando Magic,2023-24,1,First Round Exit
Philadelphia 76ers,2023-24,1,First Round Exit
Phoenix Suns,2023-24,1,First Round Exit
Oklahoma City Thunder,2024-25,5,Champion
Indiana Pacers,2024-25,4,Lost in Finals
Minnesota Timberwolves,2024-25,3,Conf. Finals Exit
New York Knicks,2024-25,3,Conf. Finals Exit
Boston Celtics,2024-25,2,Conf. Semis Exit
Cleveland Cavaliers,2024-25,2,Conf. Semis Exit
Denver Nuggets,2024-25,2,Conf. Semis Exit
Golden State Warriors,2024-25,2,Conf. Semis Exit
Detroit Pistons,2024-25,1,First Round Exit
Houston Rockets,2024-25,1,First Round Exit
Los Angeles Clippers,2024-25,1,First Round Exit
Memphis Grizzlies,2024-25,1,First Round Exit
Miami Heat,2024-25,1,First Round Exit
Milwaukee Bucks,2024-25,1,First Round Exit
Orlando Magic,2024-25,1,First Round Exit
Los Angeles Lakers,2024-25,1,First Round Exit
Indiana Pacers,2018-19,1,First Round Exit
Dallas Mavericks,2019-20,1,First Round Exit
New York Knicks,2020-21,1,First Round Exit
Dallas Mavericks,2020-21,1,First Round Exit
Phoenix Suns,2021-22,2,Conf. Semis Exit
Atlanta Hawks,2021-22,1,First Round Exit
Milwaukee Bucks,2022-23,1,First Round Exit
Los Angeles Clippers,2023-24,1,First Round Exit
